verb,reviewReason,affectedFormCount,affectedForms,pdfRows,pdfSlots,corpusClassification,verbnetClassification,status,frameEvidence,verbnetClasses,reviewStatus
apply,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADV (monotransitive); NP V NP PP.predicate (monotransitive); NP V NP S_INF (monotransitive),"put-9.1-1, use-105.1",pending
arrange,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP PP.destination (monotransitive); NP V NP ADVP (monotransitive),"build-26.1, establish-55.5-1, put-9.1",pending
arrest,classification-gap; corpus-vs-verbnet-conflict,1,arrests,33,V5,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive); NP V NP PP.theme PP.attribute (monotransitive); NP V NP PP.attribute PP.theme (monotransitive),prosecute-33.2-1,pending
assert,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP to be NP (monotransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"conjecture-29.5, reflexive_appearance-48.1.2",pending
assort,classification-gap; verbnet-unmatched,2,"assort, assorts",36,"V1, V5",,uncertain,unmatched,,,pending
astonish,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
attend,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"attend-107.4-1, caring-75.2-1-1, peer-30.3",pending
attract,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S_ING (monotransitive); NP V NP PP.result (monotransitive),"earn-54.6, lure-59.3",pending
audit,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.value (monotransitive),assessment-34.1,pending
avoid,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"avoid-52, void-106",pending
awake,classification-gap,2,"awake, awoken",43,"V1, V3",,ambitransitive,provisional,NP V (intransitive); NP V NP ADJ (monotransitive),"appear-48.1.1, other_cos-45.4-1",pending
banish,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.destination (monotransitive),banish-10.2,pending
bash,classification-gap,4,"bash, bashed, bashes, bashing",46,"V1, V2, V3, V4, V5",,ditransitive,provisional,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP together (monotransitive); NP V NP ADJP (monotransitive); NP V NP ADJP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP PP (monotransitive); NP V NP ADJP PP.result (monotransitive); NP V NP-Dative NP (ditransitive),"bump-18.4-1, hit-18.1, throw-17.1-1",pending
bat,corpus-vs-verbnet-conflict,0,,,,intransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive); NP V NP-Dative NP (ditransitive),"crane-40.3.2, throw-17.1-1",pending
be is,classification-gap,1,be is,48,V1,,,pending,,,pending
bear,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive); NP V NP NP (ditransitive),"admire-31.2, birth-28.2-1-1, support-15.3",pending
beautify,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
become,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP (monotransitive),become-109.1-1-1,pending
befall,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,occur-48.3-1,pending
beg,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.Topic (monotransitive),beg-58.2-1-1,pending
begin,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.subeventuality (monotransitive); NP V NP ADJ (monotransitive),"begin-55.1-1-1, terminus-47.9",pending
behave,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,"masquerade-29.6, masquerade-29.6-1",pending
behold,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),sight-30.2,pending
believe,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive),"admire-31.2, conjecture-29.5-1",pending
belong,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,attend-107.4-2,pending
bereave,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),deprive-10.6.2,pending
beseech,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
bet,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"bill-54.5-1, rely-70, risk-94",pending
betray,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
bid,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
bind,classification-gap,1,bind,68,V1,,monotransitive,provisional,NP V NP PP.theme (monotransitive); NP V NP (monotransitive),"fill-9.8-1, shake-22.3-2-1",pending
bite,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP ADJP (monotransitive); NP V NP ADJP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP PP.location (monotransitive),"hurt-40.8.3-2, swat-18.2",pending
bless,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive),judgment-33.1-1,pending
blossom,classification-gap,1,blossoms,72,V5,intransitive,intransitive,provisional,NP V (intransitive),"entity_specific_cos-45.5, entity_specific_modes_being-47.2",pending
blow,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive); NP V NP PP.co-patient (monotransitive); NP V NP apart (monotransitive),"build-26.1, crane-40.3.2, split-23.2, weather-57",pending
blur,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
board,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive); NP V NP PP.location (monotransitive),"butter-9.9, odge-46-1",pending
boast,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),complain-37.8,pending
boil,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive),"cooking-45.3, preparing-26.3-2",pending
box,classification-gap,2,"box, boxes",80,"V1, V5",,ambitransitive,provisional,NP V NP (monotransitive); NP V NP PP.theme (monotransitive); NP V NP PP.theme whether S (monotransitive); NP V NP PP.theme what S (monotransitive); NP V NP PP.theme whether S_INF (monotransitive); NP V NP PP.theme what S_INF (monotransitive); NP V (intransitive); NP V NP PP.destination (monotransitive),"battle-36.4-1, meet-36.3-2, pocket-9.10",pending
bray,classification-gap,3,"bray, brayed, brays",81,"V1, V2, V3, V5",,ambitransitive,provisional,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"animal_sounds-38, manner_speaking-37.3",pending
breathe,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),breathe-40.1.2-1,pending
breed,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
bring,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP NP (ditransitive); NP V NP together (monotransitive); NP V NP (monotransitive),"bring-11.3-1, earn-54.6, engender-27.1, establish-55.5",pending
broadcast,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP-Dative NP (ditransitive); NP V NP PP.topic (monotransitive),instr_communication-37.4.1,pending
burst,corpus-vs-verbnet-conflict,0,,,,intransitive,ambitransitive,conflict,NP V (intransitive); NP V NP PP.instrument (monotransitive),"appear-48.1.1, other_cos-45.4",pending
bury,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),put-9.1-1,pending
bust,classification-gap,3,"bust, busting, busts",92,"V1, V2, V3, V4, V5",,monotransitive,provisional,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),prosecute-33.2,pending
buy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.asset (monotransitive); NP V NP PP.source NP.asset (monotransitive),"accept-77.1, get-13.5.1, invest-13.5.4",pending
calculate,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
call,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V (intransitive); NP V NP NP (ditransitive); NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.asset (monotransitive); NP V NP PP.source NP.asset (monotransitive); NP V NP PP.recipient (monotransitive),"animal_sounds-38, dub-29.3.2, get-13.5.1, initiate_communication-37.4.2-1, manner_speaking-37.3",pending
canvass,classification-gap; verbnet-unclassified,1,canvasses,97,V5,ambitransitive,uncertain,unclassified,,investigate-35.4,pending
capture,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP NP (ditransitive),steal-10.5-1,pending
caress,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme PP.instrument (monotransitive),touch-20-1,pending
carry,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive); NP V NP NP (ditransitive); NP V NP PP.location (monotransitive),"carry-11.4, cost-54.2, fit-54.3",pending
cash,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source (monotransitive),get-13.5.1-1,pending
cast,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP S_ING (monotransitive); NP V NP to be ADJ (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.destinations (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP ADVP (monotransitive),"build-26.1, characterize-29.2, throw-17.1",pending
catch,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.asset (monotransitive); NP V NP PP.source NP.asset (monotransitive),get-13.5.1,pending
cause,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"act-114, engender-27.1-1, result-27.2",pending
cease,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,stop-55.4-1-1,pending
celebrate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive),judgment-33.1-1,pending
challenge,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
change,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.co-theme (monotransitive); NP V NP PP.co-agent (monotransitive); NP V NP PP.instrument (monotransitive),"dress-41.1.1-1-1, exchange-13.6.1, other_cos-45.4, turn-26.6.1-1",pending
chase,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.location (monotransitive),chase-51.6,pending
check,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.value (monotransitive); NP V NP PP.theme (monotransitive),"assessment-34.1, peer-30.3, search-35.2",pending
chide,classification-gap; corpus-vs-verbnet-conflict,1,chidden,116,V3,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive),judgment-33.1-1,pending
chip,classification-gap,2,"chip, chips",117,"V1, V5",,ambitransitive,provisional,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP ADJ (monotransitive); NP V NP ADJ PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V (intransitive),"break-45.1, carve-21.2-1, cut-21.1-1, hurt-40.8.3-1-1",pending
choke,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP PP.result (monotransitive),"die-42.4-1, fill-9.8, subjugate-42.3, suffocate-40.7",pending
choose,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.asset (monotransitive); NP V NP PP.source NP.asset (monotransitive),get-13.5.1,pending
classify,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP S_ING (monotransitive); NP V NP to be ADJ (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP (monotransitive); NP V NP PP.goal (monotransitive),"characterize-29.2, classify-29.10",pending
clean,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive),"clear-10.3, other_cos-45.4, preparing-26.3-2",pending
cleave,classification-gap; corpus-vs-verbnet-conflict,1,cloven,122,V3,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP ADJ (monotransitive); NP V NP ADJ PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive),"break-45.1, carve-21.2-1, cling-22.5",pending
close,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive); NP V NP PP.theme (monotransitive); NP V NP PP.instrument (monotransitive),"crane-40.3.2, fill-9.8, other_cos-45.4, stop-55.4-1",pending
clothe,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"dress-41.1.1, dress-41.1.1-1-2",pending
clutch,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),hold-15.1-1,pending
co-operate,classification-gap; verbnet-unmatched,4,"co-operate, co-operated, co-operates, co-operating",184,"V1, V2, V3, V4, V5",,uncertain,unmatched,,,pending
collapse,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
colour,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
comment,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,lecture-37.11-1-1,pending
compare,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.co-patient (monotransitive); NP V NP (monotransitive),amalgamate-22.2-2,pending
compel,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S_INF (monotransitive),compel-59.1-1,pending
complete,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),complete-55.2,pending
conclude,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive),"deduce-97.2, stop-55.4-1-1",pending
conduct,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP (monotransitive),"accompany-51.7, act-114, conduct-111.1",pending
confess,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP to be NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP NP (ditransitive),"confess-37.10, declare-29.4, say-37.7-1-1",pending
confine,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.destination (monotransitive); NP V NP (monotransitive); NP V NP S_ING (monotransitive); NP V NP PP.goal (monotransitive); NP V NP S_INF (monotransitive),"confine-92-1, limit-76",pending
confiscate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.source PP.beneficiary (monotransitive),steal-10.5,pending
confuse,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.co-patient (monotransitive); NP V NP (monotransitive); NP V NP ADJ (monotransitive),"amalgamate-22.2-2, amuse-31.1",pending
connote,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
conquer,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),subjugate-42.3,pending
consecrate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP NP (ditransitive); NP V NP (monotransitive),dub-29.3.2,pending
consent,classification-gap; verbnet-unclassified,1,consents,150,V5,intransitive,uncertain,unclassified,,acquiesce-95.1-1-1,pending
conserve,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
consider,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP ADJ (monotransitive); NP V NP NP (ditransitive),consider-29.9-1-1,pending
consign,classification-gap; verbnet-unmatched,1,consigns,153,V5,ambitransitive,uncertain,unmatched,,,pending
consist,verbnet-unmatched,0,,,,intransitive,uncertain,unmatched,,,pending
console,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
consort,classification-gap; verbnet-unmatched,2,"consorting, consorts",156,"V4, V5",intransitive,uncertain,unmatched,,,pending
constrain,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S_ING (monotransitive); NP V NP PP.goal (monotransitive); NP V NP S_INF (monotransitive),limit-76,pending
construct,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.material (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.instrument (monotransitive),"create-26.4, remedy-45.7",pending
construe,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source (monotransitive); NP V NP PP.source whether S (monotransitive); NP V NP PP.source S_ING (monotransitive); NP V NP PP.source S (monotransitive),base-97.1,pending
contain,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.location (monotransitive),"comprise-107.2-2, contain-15.4, fit-54.3",pending
contemn,classification-gap; verbnet-unmatched,1,contemns,164,V5,ambitransitive,uncertain,unmatched,,,pending
contest,classification-gap; verbnet-unmatched,1,contests,166,V5,ambitransitive,uncertain,unmatched,,,pending
contract,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive); NP V NP ADJ (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP to be NP (monotransitive),"bend-45.2, hire-13.5.3",pending
contradict,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
contrast,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),amalgamate-22.2-2-1,pending
contribute,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),contribute-13.2-1-1,pending
contrive,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.material (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.attribute (monotransitive),create-26.4,pending
control,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),enforce-63,pending
convey,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive),"say-37.7-1-1, send-11.1",pending
convict,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
convince,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP S_INF (monotransitive),"amuse-31.1, compel-59.1-1",pending
coo,classification-gap,3,"coo, cooed, coos",181,"V1, V2, V3, V5",,ambitransitive,provisional,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"animal_sounds-38, manner_speaking-37.3",pending
cook,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive),"build-26.1, cooking-45.3, preparing-26.3-1",pending
cool,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
copy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.destination (monotransitive),"scribble-25.2, transcribe-25.4",pending
correct,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),remedy-45.7,pending
corrode,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,entity_specific_cos-45.5,pending
corrupt,classification-gap,1,corrupt,190,V1,,monotransitive,provisional,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
